Сумма кредита	Стоимость кредита	Срок кредита	Дата кредитования	Цель кредитования	Количество	Возраст	Пол	Образование	Частная собственность	Срок работы по специальности	Среднемес. доход	Среднемес. расход	Основное направление расходов
24000	4800	12	11.05.03	Покупка товара	1	56	Муж	высшее	Нет	22	11000	4000	Содержание/аренда недвижимости, а/т
2500	500	24	11.05.03	Иное	1	66	Жен	специальное	Нет	3	8500	5000	Выплаты по кредитам/займам
6000	1200	12	12.05.03	Оплата услуг (мед., юрид. и т.п.)	1	53	Муж	специальное	Нет	8	3000	2000	Выплаты по кредитам/займам
16000	3200	12	12.05.03	Покупка товара	1	58	Жен	высшее	Да	12	8500	5000	Содержание/аренда недвижимости, а/т
5500	1100	24	12.05.03	Иное	1	59	Муж	высшее	Да	5	7000	2000	Турпоездки, развлечения и т.п.
19000	3800	12	12.05.03	Покупка товара	1	64	Жен	среднее	Да	8	12500	3500	Содержание/аренда недвижимости, а/т
23000	4600	18	13.05.03	Иное	1	41	Муж	высшее	Да	19	2000	1000	Турпоездки, развлечения и т.п.
21000	4200	18	14.05.03	Оплата услуг (мед., юрид. и т.п.)	1	27	Муж	среднее	Нет	26	5000	3500	Содержание/аренда недвижимости, а/т
18500	3700	18	14.05.03	Оплата за образование	1	44	Жен	среднее	Нет	10	5500	3500	Турпоездки, развлечения и т.п.
28500	5700	6	15.05.03	Покупка товара	1	68	Муж	специальное	Да	20	10500	7000	Покупка товаров длит. пользования
15000	3000	24	15.05.03	Иное	1	66	Жен	специальное	Нет	8	7500	4500	Турпоездки, развлечения и т.п.
21500	4300	24	16.05.03	Покупка и ремонт недвижимости	1	31	Жен	среднее	Нет	5	7000	2500	Турпоездки, развлечения и т.п.
2500	500	24	17.05.03	Покупка и ремонт недвижимости	1	47	Жен	специальное	Да	8	5500	3000	Затраты на образование (в т.ч. детей)
29500	5900	12	17.05.03	Покупка и ремонт недвижимости	1	39	Муж	высшее	Да	28	6500	4500	Покупка товаров длит. пользования
29500	5900	24	17.05.03	Оплата услуг (мед., юрид. и т.п.)	1	24	Жен	высшее	Нет	8	8500	5500	Выплаты по кредитам/займам
14500	2900	6	18.05.03	Иное	1	65	Жен	среднее	Да	23	4000	2500	Затраты на образование (в т.ч. детей)
6000	1200	18	18.05.03	Покупка товара	1	57	Жен	специальное	Да	29	13500	8000	Выплаты по кредитам/займам
16000	3200	12	18.05.03	Покупка и ремонт недвижимости	1	50	Муж	среднее	Нет	25	6500	2000	Выплаты по кредитам/займам
26500	5300	12	19.05.03	Покупка товара	1	37	Жен	среднее	Да	12	13000	6500	Покупка товаров длит. пользования
17500	3500	6	20.05.03	Иное	1	54	Жен	среднее	Да	11	8000	5500	Турпоездки, развлечения и т.п.
11000	2200	24	21.05.03	Покупка и ремонт недвижимости	1	74	Жен	среднее	Да	17	11000	3000	Содержание/аренда недвижимости, а/т
14500	2900	6	22.05.03	Покупка и ремонт недвижимости	1	30	Муж	среднее	Да	9	13000	9000	Затраты на образование (в т.ч. детей)
27000	5400	24	22.05.03	Оплата за образование	1	38	Жен	высшее	Да	1	2000	1000	Затраты на образование (в т.ч. детей)
22000	4400	12	23.05.03	Оплата услуг (мед., юрид. и т.п.)	1	57	Жен	специальное	Нет	22	5500	3000	Турпоездки, развлечения и т.п.
16000	3200	12	23.05.03	Покупка автомобиля	1	41	Жен	специальное	Нет	9	4500	1500	Покупка товаров длит. пользования
12000	2400	12	24.05.03	Оплата услуг (мед., юрид. и т.п.)	1	39	Муж	специальное	Да	18	8500	6000	Покупка товаров длит. пользования
15500	3100	12	24.05.03	Покупка и ремонт недвижимости	1	62	Жен	специальное	Нет	14	14000	10500	Турпоездки, развлечения и т.п.
24000	4800	12	24.05.03	Оплата за образование	1	46	Жен	специальное	Да	2	2500	1000	Затраты на образование (в т.ч. детей)
4500	900	6	25.05.03	Оплата услуг (мед., юрид. и т.п.)	1	41	Жен	высшее	Нет	3	8500	3000	Турпоездки, развлечения и т.п.
14000	2800	12	25.05.03	Покупка автомобиля	1	61	Жен	высшее	Нет	18	9000	3500	Выплаты по кредитам/займам
28500	5700	6	26.05.03	Покупка и ремонт недвижимости	1	47	Муж	высшее	Нет	10	5000	2000	Покупка товаров длит. пользования
21000	4200	12	26.05.03	Оплата услуг (мед., юрид. и т.п.)	1	27	Муж	среднее	Да	6	4000	2500	Покупка товаров длит. пользования
14000	2800	18	26.05.03	Покупка автомобиля	1	74	Муж	специальное	Нет	25	14000	5500	Выплаты по кредитам/займам
29500	5900	18	27.05.03	Покупка товара	1	28	Жен	среднее	Да	22	14000	4000	Содержание/аренда недвижимости, а/т
27000	5400	24	28.05.03	Покупка автомобиля	1	58	Муж	среднее	Нет	29	2000	500	Выплаты по кредитам/займам
26500	5300	12	28.05.03	Оплата за образование	1	58	Жен	специальное	Нет	1	10500	5500	Выплаты по кредитам/займам
23000	4600	12	29.05.03	Иное	1	24	Муж	специальное	Да	11	13000	6000	Турпоездки, развлечения и т.п.
21000	4200	12	30.05.03	Оплата услуг (мед., юрид. и т.п.)	1	60	Муж	среднее	Да	16	12500	6000	Турпоездки, развлечения и т.п.
27000	5400	6	30.05.03	Покупка автомобиля	1	53	Муж	высшее	Да	28	4500	2500	Покупка товаров длит. пользования
14000	2800	6	30.05.03	Покупка товара	1	28	Жен	специальное	Да	6	6000	4000	Турпоездки, развлечения и т.п.
5000	1000	12	31.05.03	Покупка товара	1	48	Муж	специальное	Нет	8	3000	1500	Покупка товаров длит. пользования
17000	3400	12	01.06.03	Покупка и ремонт недвижимости	1	56	Жен	среднее	Да	25	13000	5500	Затраты на образование (в т.ч. детей)
4500	900	18	01.06.03	Покупка и ремонт недвижимости	1	36	Жен	высшее	Нет	29	10500	5500	Выплаты по кредитам/займам
4000	800	18	02.06.03	Покупка товара	1	37	Муж	среднее	Нет	11	2000	500	Выплаты по кредитам/займам
2000	400	24	03.06.03	Покупка товара	1	57	Жен	специальное	Да	24	3000	1500	Содержание/аренда недвижимости, а/т
26000	5200	24	03.06.03	Оплата за образование	1	63	Муж	специальное	Да	12	7500	5500	Содержание/аренда недвижимости, а/т
28000	5600	12	03.06.03	Иное	1	32	Муж	высшее	Нет	6	5500	1500	Затраты на образование (в т.ч. детей)
21500	4300	6	03.06.03	Покупка и ремонт недвижимости	1	49	Муж	специальное	Да	27	6000	2500	Выплаты по кредитам/займам
28500	5700	12	04.06.03	Покупка товара	1	24	Жен	высшее	Нет	4	8500	4500	Турпоездки, развлечения и т.п.
11500	2300	6	07.06.03	Покупка автомобиля	1	49	Жен	среднее	Нет	11	2500	1000	Затраты на образование (в т.ч. детей)
9000	1800	6	07.06.03	Оплата за образование	1	66	Жен	среднее	Нет	24	12500	5000	Покупка товаров длит. пользования
12500	2500	24	07.06.03	Иное	1	27	Муж	высшее	Нет	4	10000	5000	Затраты на образование (в т.ч. детей)
18000	3600	18	08.06.03	Покупка и ремонт недвижимости	1	39	Муж	среднее	Да	2	14000	6500	Турпоездки, развлечения и т.п.
28500	5700	6	09.06.03	Покупка автомобиля	1	37	Жен	среднее	Да	14	6500	4000	Затраты на образование (в т.ч. детей)
22500	4500	6	09.06.03	Оплата услуг (мед., юрид. и т.п.)	1	49	Жен	специальное	Нет	25	14500	7500	Затраты на образование (в т.ч. детей)
20000	4000	24	10.06.03	Покупка товара	1	38	Муж	среднее	Да	27	9000	4500	Выплаты по кредитам/займам
11500	2300	6	11.06.03	Покупка и ремонт недвижимости	1	66	Жен	высшее	Нет	0	14500	11000	Содержание/аренда недвижимости, а/т
27000	5400	12	12.06.03	Покупка товара	1	57	Муж	высшее	Да	2	7500	3000	Затраты на образование (в т.ч. детей)
20000	4000	12	12.06.03	Оплата услуг (мед., юрид. и т.п.)	1	30	Жен	высшее	Нет	16	12500	9500	Выплаты по кредитам/займам
2500	500	18	13.06.03	Иное	1	58	Жен	высшее	Нет	3	5000	2000	Содержание/аренда недвижимости, а/т
26500	5300	18	15.06.03	Оплата за образование	1	33	Муж	специальное	Нет	25	9500	3000	Турпоездки, развлечения и т.п.
2000	400	6	16.06.03	Покупка автомобиля	1	50	Муж	высшее	Да	23	14500	9000	Выплаты по кредитам/займам
11000	2200	12	17.06.03	Покупка автомобиля	1	23	Жен	специальное	Нет	3	5500	2000	Турпоездки, развлечения и т.п.
21500	4300	24	17.06.03	Покупка товара	1	20	Муж	среднее	Нет	12	8500	6000	Турпоездки, развлечения и т.п.
13000	2600	24	18.06.03	Покупка товара	1	29	Муж	специальное	Нет	24	12500	5000	Затраты на образование (в т.ч. детей)
17500	3500	18	19.06.03	Оплата за образование	1	52	Муж	высшее	Да	17	13000	7500	Покупка товаров длит. пользования
28000	5600	24	20.06.03	Оплата услуг (мед., юрид. и т.п.)	1	51	Жен	специальное	Да	26	14000	10500	Турпоездки, развлечения и т.п.
14500	2900	12	20.06.03	Оплата за образование	1	37	Жен	специальное	Нет	21	11000	5000	Затраты на образование (в т.ч. детей)
14000	2800	6	20.06.03	Покупка и ремонт недвижимости	1	37	Муж	специальное	Нет	25	6500	3500	Покупка товаров длит. пользования
16500	3300	6	20.06.03	Покупка автомобиля	1	60	Жен	специальное	Нет	10	4500	2000	Турпоездки, развлечения и т.п.
25000	5000	6	20.06.03	Покупка автомобиля	1	33	Муж	специальное	Нет	1	12000	6500	Турпоездки, развлечения и т.п.
22500	4500	24	21.06.03	Оплата услуг (мед., юрид. и т.п.)	1	69	Жен	высшее	Да	19	4500	1000	Содержание/аренда недвижимости, а/т
5000	1000	6	21.06.03	Покупка автомобиля	1	43	Жен	специальное	Да	22	3500	1500	Содержание/аренда недвижимости, а/т
15000	3000	12	23.06.03	Оплата за образование	1	29	Жен	специальное	Да	14	12500	9000	Покупка товаров длит. пользования
11000	2200	24	23.06.03	Покупка автомобиля	1	40	Муж	среднее	Да	17	2500	1000	Выплаты по кредитам/займам
13000	2600	6	23.06.03	Иное	1	71	Жен	специальное	Да	3	2000	1500	Содержание/аренда недвижимости, а/т
24000	4800	24	25.06.03	Покупка и ремонт недвижимости	1	48	Жен	среднее	Нет	29	3500	2500	Турпоездки, развлечения и т.п.
28500	5700	18	25.06.03	Покупка и ремонт недвижимости	1	55	Жен	высшее	Да	2	10500	3500	Турпоездки, развлечения и т.п.
26000	5200	12	26.06.03	Оплата услуг (мед., юрид. и т.п.)	1	68	Муж	среднее	Нет	0	12000	9000	Покупка товаров длит. пользования
28500	5700	6	27.06.03	Иное	1	71	Жен	специальное	Да	17	8000	5500	Содержание/аренда недвижимости, а/т
18000	3600	6	27.06.03	Оплата за образование	1	22	Жен	специальное	Нет	11	14500	6500	Содержание/аренда недвижимости, а/т
6000	1200	6	28.06.03	Покупка товара	1	70	Муж	специальное	Да	19	3000	500	Покупка товаров длит. пользования
23500	4700	12	28.06.03	Покупка и ремонт недвижимости	1	31	Муж	специальное	Нет	19	2500	1500	Содержание/аренда недвижимости, а/т
4500	900	24	30.06.03	Покупка товара	1	71	Жен	специальное	Нет	7	13500	7000	Содержание/аренда недвижимости, а/т
5500	1100	6	05.07.03	Иное	1	74	Жен	среднее	Да	16	14500	11000	Затраты на образование (в т.ч. детей)
3000	600	24	06.07.03	Покупка автомобиля	1	57	Муж	высшее	Да	27	14000	8000	Покупка товаров длит. пользования
15000	3000	24	06.07.03	Оплата услуг (мед., юрид. и т.п.)	1	64	Муж	высшее	Да	23	14000	6500	Покупка товаров длит. пользования
10500	2100	12	07.07.03	Иное	1	52	Жен	среднее	Да	14	7500	3000	Содержание/аренда недвижимости, а/т
10000	2000	18	07.07.03	Иное	1	29	Жен	специальное	Да	14	12000	6500	Содержание/аренда недвижимости, а/т
15500	3100	18	08.07.03	Оплата за образование	1	60	Муж	высшее	Нет	4	5500	2500	Выплаты по кредитам/займам
23500	4700	18	08.07.03	Оплата за образование	1	42	Муж	специальное	Да	9	2500	500	Выплаты по кредитам/займам
22000	4400	24	09.07.03	Покупка товара	1	53	Муж	специальное	Да	5	4000	2500	Покупка товаров длит. пользования
25500	5100	12	09.07.03	Оплата за образование	1	32	Муж	высшее	Да	19	10000	4000	Турпоездки, развлечения и т.п.
2000	400	18	10.07.03	Покупка автомобиля	1	70	Муж	специальное	Да	29	13500	6500	Выплаты по кредитам/займам
11500	2300	6	12.07.03	Покупка товара	1	24	Жен	высшее	Да	4	6500	4000	Содержание/аренда недвижимости, а/т
22500	4500	18	12.07.03	Иное	1	74	Муж	специальное	Нет	8	7500	5500	Выплаты по кредитам/займам
19500	3900	12	12.07.03	Покупка и ремонт недвижимости	1	23	Муж	среднее	Да	17	3500	1000	Турпоездки, развлечения и т.п.
24500	4900	18	13.07.03	Оплата услуг (мед., юрид. и т.п.)	1	68	Жен	высшее	Нет	21	5000	2000	Содержание/аренда недвижимости, а/т
28000	5600	12	13.07.03	Оплата услуг (мед., юрид. и т.п.)	1	33	Жен	высшее	Да	2	4000	3000	Затраты на образование (в т.ч. детей)
16000	3200	12	13.07.03	Покупка и ремонт недвижимости	1	24	Муж	высшее	Нет	16	2500	1500	Покупка товаров длит. пользования
28500	5700	12	14.07.03	Покупка и ремонт недвижимости	1	54	Муж	среднее	Да	18	14000	10000	Содержание/аренда недвижимости, а/т
22000	4400	12	14.07.03	Оплата за образование	1	20	Муж	высшее	Нет	7	7500	5500	Содержание/аренда недвижимости, а/т
23500	4700	18	15.07.03	Оплата за образование	1	34	Жен	среднее	Нет	27	2500	1500	Затраты на образование (в т.ч. детей)
5000	1000	24	15.07.03	Иное	1	30	Муж	специальное	Нет	7	7000	4000	Турпоездки, развлечения и т.п.
5000	1000	6	16.07.03	Оплата услуг (мед., юрид. и т.п.)	1	67	Жен	высшее	Да	27	11000	6000	Покупка товаров длит. пользования
20500	4100	6	16.07.03	Иное	1	30	Жен	специальное	Да	22	10000	3500	Содержание/аренда недвижимости, а/т
20000	4000	24	16.07.03	Покупка автомобиля	1	54	Муж	высшее	Нет	14	8000	3500	Содержание/аренда недвижимости, а/т
7000	1400	12	16.07.03	Оплата услуг (мед., юрид. и т.п.)	1	30	Муж	среднее	Да	1	10500	4500	Турпоездки, развлечения и т.п.
9500	1900	18	17.07.03	Покупка товара	1	39	Муж	специальное	Да	28	13000	7500	Затраты на образование (в т.ч. детей)
2500	500	24	17.07.03	Оплата услуг (мед., юрид. и т.п.)	1	34	Муж	специальное	Нет	12	2000	500	Содержание/аренда недвижимости, а/т
8000	1600	12	18.07.03	Покупка товара	1	40	Муж	среднее	Нет	18	2500	500	Содержание/аренда недвижимости, а/т
29500	5900	24	18.07.03	Покупка и ремонт недвижимости	1	22	Жен	среднее	Да	16	3500	2000	Затраты на образование (в т.ч. детей)
3500	700	24	19.07.03	Покупка и ремонт недвижимости	1	25	Жен	высшее	Нет	1	7000	4500	Выплаты по кредитам/займам
28000	5600	12	20.07.03	Покупка автомобиля	1	74	Жен	специальное	Да	25	7000	3500	Выплаты по кредитам/займам
23000	4600	24	21.07.03	Оплата услуг (мед., юрид. и т.п.)	1	69	Муж	среднее	Нет	15	10500	4000	Покупка товаров длит. пользования
27500	5500	12	21.07.03	Покупка товара	1	51	Муж	специальное	Нет	22	2000	500	Турпоездки, развлечения и т.п.
18500	3700	12	21.07.03	Иное	1	31	Муж	специальное	Нет	28	8500	3000	Содержание/аренда недвижимости, а/т
12000	2400	6	22.07.03	Покупка товара	1	69	Муж	специальное	Нет	3	13000	5000	Выплаты по кредитам/займам
9500	1900	24	22.07.03	Покупка товара	1	24	Жен	среднее	Да	21	7500	4500	Выплаты по кредитам/займам
22000	4400	12	23.07.03	Покупка товара	1	56	Жен	специальное	Да	16	12000	9000	Выплаты по кредитам/займам
7000	1400	12	23.07.03	Иное	1	58	Муж	специальное	Нет	26	4500	2500	Содержание/аренда недвижимости, а/т
22000	4400	6	23.07.03	Иное	1	46	Жен	специальное	Нет	16	13000	5000	Затраты на образование (в т.ч. детей)
16000	3200	24	25.07.03	Покупка автомобиля	1	70	Муж	среднее	Да	4	7500	5000	Турпоездки, развлечения и т.п.
14000	2800	24	25.07.03	Иное	1	36	Жен	среднее	Нет	17	2500	1000	Покупка товаров длит. пользования
25000	5000	18	25.07.03	Оплата услуг (мед., юрид. и т.п.)	1	40	Жен	среднее	Да	10	9000	3000	Содержание/аренда недвижимости, а/т
4500	900	6	26.07.03	Оплата услуг (мед., юрид. и т.п.)	1	47	Муж	высшее	Нет	27	2000	1000	Содержание/аренда недвижимости, а/т
23500	4700	6	26.07.03	Иное	1	46	Муж	высшее	Нет	13	4000	1000	Турпоездки, развлечения и т.п.
10000	2000	6	27.07.03	Оплата услуг (мед., юрид. и т.п.)	1	57	Муж	специальное	Нет	22	13500	9500	Турпоездки, развлечения и т.п.
24000	4800	18	27.07.03	Покупка и ремонт недвижимости	1	21	Жен	среднее	Да	20	13000	6500	Содержание/аренда недвижимости, а/т
26000	5200	12	28.07.03	Покупка товара	1	27	Муж	высшее	Нет	19	8000	5000	Затраты на образование (в т.ч. детей)
5500	1100	24	28.07.03	Оплата услуг (мед., юрид. и т.п.)	1	45	Жен	высшее	Нет	15	13000	5500	Покупка товаров длит. пользования
22500	4500	18	28.07.03	Оплата за образование	1	39	Муж	высшее	Нет	8	7500	3500	Затраты на образование (в т.ч. детей)
29500	5900	24	28.07.03	Покупка и ремонт недвижимости	1	41	Жен	специальное	Да	19	13000	5500	Турпоездки, развлечения и т.п.
23500	4700	18	29.07.03	Покупка автомобиля	1	65	Жен	среднее	Да	4	11000	6500	Покупка товаров длит. пользования
11500	2300	18	29.07.03	Иное	1	65	Муж	среднее	Нет	6	13500	5500	Затраты на образование (в т.ч. детей)
15500	3100	6	29.07.03	Оплата за образование	1	47	Жен	высшее	Да	16	2500	1500	Выплаты по кредитам/займам
20500	4100	24	30.07.03	Оплата услуг (мед., юрид. и т.п.)	1	65	Муж	специальное	Нет	16	5000	2000	Содержание/аренда недвижимости, а/т
27000	5400	12	31.07.03	Покупка товара	1	70	Жен	высшее	Нет	9	2000	1000	Турпоездки, развлечения и т.п.
19000	3800	18	01.08.03	Покупка автомобиля	1	28	Муж	среднее	Да	19	8500	3000	Содержание/аренда недвижимости, а/т
4000	800	24	01.08.03	Оплата услуг (мед., юрид. и т.п.)	1	19	Жен	специальное	Да	29	14000	8500	Покупка товаров длит. пользования
2500	500	24	02.08.03	Покупка автомобиля	1	58	Жен	высшее	Да	15	7500	4500	Покупка товаров длит. пользования
15000	3000	12	03.08.03	Оплата за образование	1	51	Жен	специальное	Да	21	8500	3500	Покупка товаров длит. пользования
28500	5700	12	03.08.03	Оплата услуг (мед., юрид. и т.п.)	1	20	Муж	среднее	Да	28	11500	6000	Турпоездки, развлечения и т.п.
5000	1000	6	04.08.03	Покупка и ремонт недвижимости	1	36	Жен	среднее	Нет	14	6000	2000	Турпоездки, развлечения и т.п.
7500	1500	12	05.08.03	Оплата за образование	1	49	Муж	среднее	Да	19	10500	4000	Покупка товаров длит. пользования
8000	1600	18	06.08.03	Оплата услуг (мед., юрид. и т.п.)	1	22	Жен	специальное	Да	16	10000	5500	Содержание/аренда недвижимости, а/т
14500	2900	6	07.08.03	Покупка товара	1	53	Жен	высшее	Нет	13	11500	8500	Содержание/аренда недвижимости, а/т
5500	1100	12	07.08.03	Оплата за образование	1	22	Муж	среднее	Да	27	10000	7000	Затраты на образование (в т.ч. детей)
25500	5100	18	09.08.03	Покупка товара	1	27	Жен	специальное	Да	13	10500	4000	Покупка товаров длит. пользования
20000	4000	6	09.08.03	Оплата за образование	1	57	Жен	среднее	Нет	22	12000	6500	Содержание/аренда недвижимости, а/т
8500	1700	24	09.08.03	Оплата услуг (мед., юрид. и т.п.)	1	31	Муж	высшее	Да	28	4000	1500	Содержание/аренда недвижимости, а/т
7500	1500	12	09.08.03	Покупка товара	1	53	Муж	среднее	Да	6	6500	1500	Покупка товаров длит. пользования
6500	1300	12	12.08.03	Покупка товара	1	62	Муж	специальное	Нет	12	3500	1000	Затраты на образование (в т.ч. детей)
11000	2200	24	12.08.03	Покупка товара	1	66	Муж	специальное	Да	18	12500	7500	Покупка товаров длит. пользования
9500	1900	6	12.08.03	Покупка и ремонт недвижимости	1	35	Муж	высшее	Нет	0	6000	4500	Турпоездки, развлечения и т.п.
6000	1200	6	12.08.03	Покупка и ремонт недвижимости	1	54	Жен	специальное	Да	8	10000	6000	Затраты на образование (в т.ч. детей)
13000	2600	18	13.08.03	Иное	1	50	Жен	специальное	Да	7	14000	4500	Содержание/аренда недвижимости, а/т
9500	1900	18	14.08.03	Иное	1	72	Жен	среднее	Да	3	8500	4000	Затраты на образование (в т.ч. детей)
10000	2000	18	14.08.03	Покупка товара	1	27	Жен	специальное	Нет	28	9000	5500	Турпоездки, развлечения и т.п.
3000	600	24	16.08.03	Оплата услуг (мед., юрид. и т.п.)	1	19	Жен	высшее	Да	5	4500	2500	Содержание/аренда недвижимости, а/т
15000	3000	12	16.08.03	Оплата услуг (мед., юрид. и т.п.)	1	58	Муж	среднее	Нет	11	12500	5500	Содержание/аренда недвижимости, а/т
5500	1100	18	16.08.03	Покупка товара	1	72	Муж	среднее	Нет	25	3000	1000	Турпоездки, развлечения и т.п.
4000	800	6	17.08.03	Оплата услуг (мед., юрид. и т.п.)	1	52	Муж	высшее	Да	5	12000	6000	Содержание/аренда недвижимости, а/т
15000	3000	12	18.08.03	Оплата за образование	1	47	Жен	специальное	Нет	19	10500	3000	Затраты на образование (в т.ч. детей)
3500	700	6	18.08.03	Оплата за образование	1	56	Муж	высшее	Да	12	4500	1500	Турпоездки, развлечения и т.п.
3500	700	24	18.08.03	Покупка и ремонт недвижимости	1	63	Муж	среднее	Нет	13	12500	7000	Покупка товаров длит. пользования
26500	5300	6	20.08.03	Иное	1	23	Жен	высшее	Да	13	14500	6000	Содержание/аренда недвижимости, а/т
22500	4500	6	20.08.03	Иное	1	68	Муж	специальное	Да	10	13500	5500	Затраты на образование (в т.ч. детей)
3500	700	24	20.08.03	Покупка и ремонт недвижимости	1	68	Муж	специальное	Да	20	8500	3500	Затраты на образование (в т.ч. детей)
13000	2600	24	20.08.03	Иное	1	32	Жен	среднее	Да	22	5500	4000	Турпоездки, развлечения и т.п.
9500	1900	12	21.08.03	Иное	1	35	Жен	среднее	Нет	21	11500	7000	Содержание/аренда недвижимости, а/т
28500	5700	12	21.08.03	Оплата за образование	1	62	Жен	специальное	Да	11	9000	5500	Затраты на образование (в т.ч. детей)
3500	700	6	21.08.03	Покупка автомобиля	1	26	Муж	среднее	Нет	4	2500	1500	Затраты на образование (в т.ч. детей)
20500	4100	12	22.08.03	Оплата за образование	1	36	Муж	высшее	Нет	8	2500	1500	Затраты на образование (в т.ч. детей)
13500	2700	24	23.08.03	Покупка автомобиля	1	72	Муж	специальное	Да	19	13500	4500	Покупка товаров длит. пользования
13500	2700	24	24.08.03	Оплата за образование	1	23	Жен	высшее	Нет	18	2000	500	Содержание/аренда недвижимости, а/т
13000	2600	24	24.08.03	Оплата за образование	1	67	Муж	среднее	Нет	28	6000	3500	Турпоездки, развлечения и т.п.
28500	5700	6	24.08.03	Покупка автомобиля	1	40	Жен	среднее	Да	4	4500	2000	Турпоездки, развлечения и т.п.
13000	2600	24	26.08.03	Покупка и ремонт недвижимости	1	70	Муж	высшее	Нет	22	8000	3500	Турпоездки, развлечения и т.п.
17000	3400	6	26.08.03	Иное	1	39	Муж	специальное	Нет	1	13000	9000	Содержание/аренда недвижимости, а/т
25000	5000	6	26.08.03	Покупка товара	1	73	Жен	среднее	Да	18	9000	6000	Содержание/аренда недвижимости, а/т
2000	400	24	29.08.03	Покупка товара	1	46	Жен	среднее	Да	25	11500	7500	Покупка товаров длит. пользования
2000	400	24	29.08.03	Оплата услуг (мед., юрид. и т.п.)	1	24	Муж	среднее	Да	20	6000	3000	Покупка товаров длит. пользования
8000	1600	24	01.09.03	Иное	1	59	Жен	высшее	Да	22	6000	4000	Содержание/аренда недвижимости, а/т
16500	3300	18	01.09.03	Оплата за образование	1	50	Муж	среднее	Нет	28	8000	2500	Турпоездки, развлечения и т.п.
3500	700	12	01.09.03	Покупка товара	1	56	Муж	среднее	Нет	21	3000	1500	Турпоездки, развлечения и т.п.
22000	4400	6	02.09.03	Оплата услуг (мед., юрид. и т.п.)	1	47	Жен	среднее	Да	29	11500	8000	Турпоездки, развлечения и т.п.
4000	800	12	03.09.03	Иное	1	53	Муж	среднее	Нет	26	3000	1500	Турпоездки, развлечения и т.п.
15500	3100	18	03.09.03	Покупка товара	1	61	Жен	специальное	Нет	2	14000	6000	Покупка товаров длит. пользования
19000	3800	24	03.09.03	Покупка и ремонт недвижимости	1	39	Муж	специальное	Да	16	12500	6500	Выплаты по кредитам/займам
20500	4100	6	04.09.03	Иное	1	74	Муж	высшее	Нет	14	7000	2500	Турпоездки, развлечения и т.п.
3000	600	24	04.09.03	Покупка и ремонт недвижимости	1	46	Жен	специальное	Нет	18	14500	6500	Содержание/аренда недвижимости, а/т
2500	500	24	04.09.03	Покупка товара	1	42	Жен	среднее	Нет	25	7000	4000	Турпоездки, развлечения и т.п.
19500	3900	6	04.09.03	Покупка товара	1	48	Муж	специальное	Нет	22	14500	7500	Турпоездки, развлечения и т.п.
15500	3100	18	06.09.03	Покупка и ремонт недвижимости	1	57	Муж	среднее	Нет	23	2000	1000	Турпоездки, развлечения и т.п.
19500	3900	12	07.09.03	Покупка товара	1	68	Муж	специальное	Нет	20	9500	7000	Турпоездки, развлечения и т.п.
4500	900	18	07.09.03	Покупка автомобиля	1	74	Муж	специальное	Да	16	9500	5000	Затраты на образование (в т.ч. детей)
10000	2000	12	07.09.03	Оплата за образование	1	60	Жен	среднее	Да	17	7500	4000	Турпоездки, развлечения и т.п.
13500	2700	18	07.09.03	Оплата услуг (мед., юрид. и т.п.)	1	33	Жен	высшее	Да	22	2000	500	Выплаты по кредитам/займам
23500	4700	24	08.09.03	Покупка и ремонт недвижимости	1	23	Жен	специальное	Да	19	9000	4500	Затраты на образование (в т.ч. детей)
13500	2700	18	09.09.03	Покупка автомобиля	1	35	Жен	специальное	Да	23	7000	3000	Содержание/аренда недвижимости, а/т
25500	5100	12	10.09.03	Оплата услуг (мед., юрид. и т.п.)	1	53	Муж	среднее	Нет	27	14500	10500	Выплаты по кредитам/займам
23000	4600	6	12.09.03	Покупка автомобиля	1	74	Жен	высшее	Нет	4	11500	6500	Выплаты по кредитам/займам
15500	3100	6	13.09.03	Оплата за образование	1	45	Жен	специальное	Да	2	3500	2500	Покупка товаров длит. пользования
14500	2900	12	13.09.03	Оплата за образование	1	25	Жен	высшее	Нет	28	9000	7000	Выплаты по кредитам/займам
22000	4400	12	17.09.03	Покупка и ремонт недвижимости	1	68	Жен	среднее	Нет	17	2500	1000	Покупка товаров длит. пользования
19000	3800	24	19.09.03	Покупка и ремонт недвижимости	1	45	Муж	среднее	Да	19	13000	8000	Покупка товаров длит. пользования
28500	5700	6	21.09.03	Покупка товара	1	48	Муж	специальное	Нет	29	9500	6500	Покупка товаров длит. пользования
19500	3900	18	21.09.03	Покупка и ремонт недвижимости	1	56	Жен	среднее	Да	23	13500	5500	Выплаты по кредитам/займам
19500	3900	12	21.09.03	Покупка автомобиля	1	48	Муж	высшее	Да	28	2500	1500	Затраты на образование (в т.ч. детей)
29000	5800	6	22.09.03	Оплата услуг (мед., юрид. и т.п.)	1	73	Жен	специальное	Да	23	12000	4000	Выплаты по кредитам/займам
11500	2300	6	23.09.03	Иное	1	57	Муж	специальное	Нет	5	2000	500	Затраты на образование (в т.ч. детей)
28500	5700	12	23.09.03	Покупка и ремонт недвижимости	1	53	Жен	среднее	Нет	7	11000	5000	Содержание/аренда недвижимости, а/т
4000	800	24	25.09.03	Покупка и ремонт недвижимости	1	37	Жен	среднее	Да	27	5000	1500	Затраты на образование (в т.ч. детей)
